epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,5023.6,0.52724,0.9043,0.47393,1.12371,0,0.93529,0.86408,0.94009,0.82595,0.91677,0.85922,0.92392,0.82843,0.39531,0.44228,0.34819,1.00219,0,0.000667789,0.000667789,0.000667789
61,5107.23,0.50919,0.87912,0.45354,1.11468,0,0.89672,0.88835,0.92895,0.83343,0.90255,0.86893,0.91412,0.83137,0.35483,0.43775,0.34141,0.951,0,0.000657963,0.000657963,0.000657963
62,5192.4,0.52049,0.92641,0.47503,1.11343,0,0.93131,0.84466,0.93259,0.82467,0.92851,0.83981,0.91967,0.83438,0.37494,0.45383,0.36288,0.98714,0,0.000648071,0.000648071,0.000648071
63,5275.51,0.51896,0.9675,0.47364,1.10771,0,0.94309,0.85437,0.93829,0.83617,0.93207,0.84466,0.91867,0.84002,0.35796,0.43957,0.31901,0.9698,0,0.000638115,0.000638115,0.000638115
64,5358.62,0.49602,0.87605,0.45531,1.09189,0,0.91606,0.86893,0.94163,0.83973,0.89757,0.85437,0.91825,0.83329,0.34478,0.44446,0.31636,0.93909,0,0.000628101,0.000628101,0.000628101
65,5439.72,0.51222,0.88857,0.47412,1.1053,0,0.90168,0.89034,0.93806,0.83545,0.89184,0.88063,0.92837,0.83006,0.33328,0.46322,0.29498,0.93475,0,0.000618034,0.000618034,0.000618034
66,5522.97,0.51423,0.97377,0.48004,1.10588,0,0.88489,0.90291,0.93456,0.82556,0.86539,0.8835,0.91245,0.82343,0.34141,0.44867,0.31759,0.94923,0,0.000607916,0.000607916,0.000607916
67,5604.51,0.51055,0.93362,0.45293,1.11617,0,0.89115,0.87434,0.93246,0.83624,0.93899,0.82189,0.91712,0.83412,0.36335,0.44422,0.33607,0.96363,0,0.000597754,0.000597754,0.000597754
68,5687.29,0.4992,0.8901,0.45496,1.10729,0,0.90037,0.91262,0.94408,0.844,0.88588,0.89806,0.93077,0.84232,0.35311,0.42685,0.26258,0.95266,0,0.000587551,0.000587551,0.000587551
69,5771.52,0.51465,0.89673,0.4491,1.11322,0,0.9338,0.83981,0.93097,0.83,0.90708,0.86408,0.92107,0.82306,0.34417,0.43721,0.28796,0.94132,0,0.000577311,0.000577311,0.000577311
70,5854.25,0.50405,0.89019,0.46251,1.10828,0,0.88623,0.90755,0.94112,0.84527,0.88149,0.9027,0.93051,0.83962,0.33897,0.43833,0.25917,0.91609,0,0.00056704,0.00056704,0.00056704
71,5937.48,0.51721,0.9602,0.47189,1.11952,0,0.94382,0.85922,0.93955,0.84066,0.93315,0.84951,0.92666,0.83986,0.34595,0.43679,0.3672,0.96972,0,0.000556742,0.000556742,0.000556742
72,6019.09,0.48146,0.84326,0.44888,1.09062,0,0.94035,0.84184,0.9381,0.84415,0.94502,0.8301,0.92506,0.84407,0.37093,0.42964,0.35479,0.97439,0,0.000546421,0.000546421,0.000546421
73,6103.12,0.48621,0.87398,0.43561,1.08684,0,0.86191,0.91262,0.94249,0.85057,0.94859,0.80616,0.92919,0.85302,0.35489,0.41289,0.28848,0.95977,0,0.000536081,0.000536081,0.000536081
74,6185.76,0.49836,0.87205,0.45153,1.09792,0,0.95936,0.8022,0.92618,0.83441,0.97055,0.80003,0.9128,0.8431,0.35844,0.41745,0.29532,0.95598,0,0.000525728,0.000525728,0.000525728
