epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,3654.05,1.07448,1.63104,0.66045,0.99384,0,0.63698,0.5184,0.54323,0.25773,0.60969,0.50355,0.51501,0.20306,1.86605,3.11282,1.3264,1.31758,0,0.000706335,0.000706335,0.000706335
57,3717.15,1.05617,1.60838,0.65483,0.9892,0,0.62953,0.48289,0.52261,0.24995,0.62546,0.46934,0.48767,0.19229,1.89029,3.14178,1.38943,1.32232,0,0.00069682,0.00069682,0.00069682
58,3782.75,1.04778,1.60766,0.6511,0.98936,0,0.57454,0.50549,0.49237,0.23261,0.55154,0.50097,0.48214,0.19056,1.9442,3.20648,1.34137,1.34654,0,0.000687222,0.000687222,0.000687222
59,3847.62,1.0519,1.62365,0.64767,0.98248,0,0.60835,0.54851,0.53771,0.24359,0.57626,0.50291,0.49351,0.19229,1.91776,3.04982,1.28624,1.34131,0,0.000677543,0.000677543,0.000677543
60,3912.3,1.05372,1.60328,0.6378,0.98852,0,0.59101,0.50613,0.5086,0.23442,0.5973,0.4759,0.46912,0.18662,1.90609,3.12251,1.35558,1.34687,0,0.000667789,0.000667789,0.000667789
61,3978.7,1.03473,1.58305,0.63421,0.97631,0,0.60171,0.49451,0.51371,0.24215,0.59906,0.45238,0.47645,0.19128,1.91503,3.16393,1.3424,1.3529,0,0.000657963,0.000657963,0.000657963
62,4043.66,1.03076,1.55074,0.62902,0.98009,0,0.60426,0.52679,0.53238,0.2455,0.58577,0.50032,0.49517,0.1961,1.90533,3.20799,1.31401,1.33651,0,0.000648071,0.000648071,0.000648071
63,4108.95,1.04364,1.60756,0.63328,0.97933,0,0.62476,0.4923,0.53154,0.24693,0.6028,0.47902,0.49998,0.19794,1.92569,3.27526,1.35078,1.37031,0,0.000638115,0.000638115,0.000638115
64,4172.8,1.01518,1.56196,0.62043,0.96798,0,0.59959,0.52421,0.52416,0.25429,0.57416,0.50484,0.4896,0.20228,1.88385,3.13682,1.37542,1.32723,0,0.000628101,0.000628101,0.000628101
65,4238.16,1.01217,1.56806,0.61611,0.96833,0,0.60064,0.54745,0.54693,0.25669,0.60739,0.49387,0.50031,0.19877,1.86798,3.17556,1.28065,1.30771,0,0.000618034,0.000618034,0.000618034
